SRC DEST FILE SIZE(MB) TOTAL(S) UTIME(S) STIME(S)
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/output.resample.26813109.3 0.0 0.005873999999999999 0.0 0.005873999999999999
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/error.resample.26813109.3 0.0 0.0050669999999999995 0.0050669999999999995 0.0
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/resample.xml 0.023351669311523438 0.005954999999999999 0.005954999999999999 0.0
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/stat.resample.26813109.3.xml 1.4170608520507812 0.007118000000000001 0.0 0.007118000000000001
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/output.combine.26813109.3 0.0 0.005437999999999998 0.0 0.005437999999999998
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/error.combine.26813109.3 0.0 0.005059000000000001 0.0 0.005059000000000001
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/coadd.fits 49.4439697265625 0.043162000000000006 0.0 0.043162000000000006
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/coadd.weight.fits 49.4439697265625 0.04675299999999999 0.0 0.04675299999999999
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/combine.xml 0.024936676025390625 0.004961000000000002 0.004961000000000002 0.0
3/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/3/ 3/stat.combine.xml.26813109.3 0.17991161346435547 0.0041579999999999985 0.0041579999999999985 0.0
