bb,nodes,m,t
No-BB,1,98,utime
No-BB,4,90,utime
No-BB,8,84,utime
No-BB,16,75,utime
No-BB,32,66,utime
No-BB,64,68,utime
No-BB,128,70,utime
No-BB,1,2,stime
No-BB,4,10,stime
No-BB,8,16,stime
No-BB,16,25,stime
No-BB,32,34,stime
No-BB,64,32,stime
No-BB,128,30,stime
BB,1,99,utime
BB,4,97,utime
BB,8,94,utime
BB,16,91,utime
BB,32,87,utime
BB,64,88,utime
BB,128,88,utime
BB,1,1,stime
BB,4,3,stime
BB,8,6,stime
BB,16,9,stime
BB,32,13,stime
BB,64,12,stime
BB,128,12,stime
