ID AVG WORKFLOW PLATFORM PIPELINE CORES FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28183933 3 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 136.351 142.616 0.0439251 163.006 0.163519
28183933 4 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 131.831 135.781 0.0290927 187.418 0.296594
28183933 5 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 131.263 135.01 0.0277565 148.916 0.118546
28183933 6 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 137.297 144.348 0.0488479 166.798 0.176868
28183933 7 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 144.659 155.354 0.0688461 194.81 0.257436
28183933 8 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 141.674 150.547 0.0589339 166.304 0.148101
28183933 9 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 143.232 153.455 0.0666165 173.285 0.173433
28183933 10 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 285.608 367.684 0.223225 380.696 0.249774
28183933 11 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 155.282 170.46 0.0890404 186.511 0.167437
28183933 12 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 134.304 139.5 0.0372419 175.455 0.234536
28183933 13 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 137.292 145.206 0.0545067 155.677 0.118103
28183933 14 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 140.951 149.583 0.0577031 179.185 0.213377
28183933 15 swarp-0.dax cori.xml 1 1 16 458.959 0.117647 2.32143 131.67 135.618 0.0291092 173.832 0.24254
28183950 1 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 127.922 128.209 0.00223703 143.831 0.110607
28183950 2 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 130.056 131.396 0.0102041 178.929 0.273146
28183950 3 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 131.283 133.143 0.0139726 158.293 0.170636
28183950 4 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 126.456 125.961 0.00393014 150.381 0.159099
28183950 5 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 127.529 127.579 0.000392402 143.753 0.112857
28183950 6 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 129.631 130.771 0.00872014 147.7 0.122338
28183950 7 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 131.431 133.504 0.015531 186.847 0.296587
28183950 8 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 134.523 138.399 0.0280058 155.011 0.132173
28183950 9 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 135.57 140.21 0.033091 151.943 0.107757
28183950 10 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 132.407 134.943 0.0187939 173.072 0.23496
28183950 11 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 128.329 128.839 0.00395589 156.909 0.18214
28183950 12 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 129.906 131.72 0.0137721 148.074 0.122695
28183950 13 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 126.286 126.603 0.00249615 148.725 0.150875
28183950 14 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 130.733 132.389 0.0125088 174.179 0.249433
28183950 15 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 127.947 128.188 0.00188248 176.636 0.275645
28183960 1 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 126.668 126.209 0.00363675 148.753 0.148467
28183960 2 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 129.254 130.032 0.00598934 153.614 0.158582
28183960 3 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 129.577 130.522 0.00723921 175.081 0.259906
28183960 4 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 127.555 127.479 0.000591833 186.657 0.316636
28183960 5 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 130.617 132.119 0.0113678 157.439 0.170363
28183960 6 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 136.191 140.544 0.030975 166.16 0.180365
28183960 7 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 136.203 140.438 0.0301556 168.891 0.193547
28183960 8 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 125.971 125.325 0.0051506 151.659 0.169381
28183960 9 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 128.824 129.435 0.00471951 138.309 0.0685795
28183960 10 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 128.079 128.338 0.00202305 142.538 0.101441
28183960 11 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 129.853 130.931 0.00823475 150.278 0.135916
28183960 12 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 127.227 127.215 9.18771e-05 132.859 0.0423886
28183960 13 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 125.658 124.71 0.0075979 144.763 0.131976
28183960 14 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 132.475 134.786 0.0171498 145.416 0.0889943
28183960 15 swarp-0.dax cori.xml 1 1 0 0 0.117647 2.32143 128.212 128.448 0.00184231 152.22 0.157724
28183922 1 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 114.678 112.721 0.0173638 153.419 0.252517
28183922 2 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 114.842 112.006 0.025324 120.095 0.0437367
28183922 3 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 116.317 116.032 0.00246346 123.524 0.058343
28183922 4 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 115.09 112.815 0.0201653 158.72 0.274887
28183922 5 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 114.465 111.419 0.0273373 131.267 0.128003
28183922 6 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 114.811 111.703 0.0278199 131.139 0.124508
28183922 7 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 115.471 113.83 0.0144142 133.78 0.136862
28183922 8 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 115.127 113.322 0.0159231 122.495 0.060155
28183922 9 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 115.77 114.6 0.0102074 128.073 0.0960627
28183922 10 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 114.759 112.023 0.0244287 137.614 0.166079
28183922 11 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 126.271 129.938 0.0282213 164.877 0.23415
28183922 12 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 124.918 131.06 0.0468659 175.961 0.290082
28183922 13 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 118.926 120.944 0.0166868 145.792 0.184276
28183922 14 swarp-0.dax cori.xml 1 1 28 747.153 0.117647 2.32143 114.499 112.625 0.0166411 126.676 0.0961244
