ID START END FITS NB_PIPELINE NB_CORES AVG PIPELINE BB_TYPE BB_ALLOC_SIZE_MB TOTAL_NB_FILES BB_NB_FILES TOTAL_SIZE_FILES_MB BB_SIZE_FILES_MB MAKESPAN_S WALLTIME_S STAGEIN_TIME_S STAGEIN_WALLTIME_S RESAMPLE_TIME_S RESAMPLE_WALLTIME_S COMBINE_TIME_S COMBINE_WALLTIME_S STAGEOUT_TIME_S STAGEOUT_WALLTIME_S
28159938   Y 1 16 1 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 113.80450975896419 185.479763462 9.394075204851106 9.951622818 81.513 82.979291523 22.021 88.094528759 0.8764345541130751 0
28159938   Y 1 16 2 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 111.40488706532493 137.17611542 6.637431467184797 6.800575953 81.398 89.85495275 21.491 38.072237086 1.8784555981401354 0
28159938   Y 1 16 3 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 114.11154518589377 191.650156258 7.882454539882019 7.976389191 81.233 92.001521462 21.782 87.975216235 3.214090646011755 0
28159938   Y 1 16 4 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 114.56281632495111 119.670791368 8.995578397996724 9.159390183 81.216 83.228392741 21.454 23.260099253 2.8972379269544035 0
28159938   Y 1 16 5 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 112.2466894809194 137.631839 6.396501711104065 6.541259742 81.057 85.278114931 21.314 41.868326442 3.4791877698153257 0
28159938   Y 1 16 6 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 110.4696375287287 117.352444881 7.015839605825022 7.183968188 81.161 85.841139289 21.548 23.055919638 0.7447979229036719 0
28159938   Y 1 16 7 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 111.93461462475732 135.898381283 6.940773102920502 7.057845622 80.859 82.571319679 21.667 42.690580823 2.4678415218368173 0
28159938   Y 1 16 8 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 111.107247215949 128.502839304 7.563561485847458 7.714174725 80.849 85.354039017 21.604 33.843119498 1.0906857301015407 0
28159938   Y 1 16 9 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 117.22110390528105 122.185681569 8.07719667814672 8.189906834 81.062 82.799224855 21.388 23.881959297 6.693907227134332 0
28159938   Y 1 16 10 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 112.31378838106804 125.395403391 5.350127534940839 5.454171681 80.678 84.227972594 21.584 28.789547012 4.701660846127197 0
28159938   Y 1 16 11 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 116.53004645421915 128.853644582 7.346405841177329 7.541035124 80.904 83.01494504 21.813 28.81967512 6.466640613041818 0
28159938   Y 1 16 12 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 384.7194728181697 424.168945273 278.47528058313765 292.2678141 81.13 89.018447391 21.645 32.8539872 3.4691922350320965 0
28159938   Y 1 16 13 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 124.67803327892722 142.255178335 13.054107228992507 13.455972689 81.037 85.853928394 21.34 29.155360456 9.2469260499347 0
28159938   Y 1 16 14 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 139.1928637918625 152.763724369 35.569960589986295 36.481269086 80.961 89.314492116 21.656 25.482147292 1.0059032018762082 0
28159938   Y 1 16 15 0 PRIVATE 201.39999999999998 32 32 768.515625 768.515625 109.3579063781891 154.892811903 5.73647798015736 5.85925159 81.036 82.185145307 21.651 65.363949761 0.9344283980317414 0
28159993   Y 1 16 1 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 212.93038491221887 227.727320782 9.406973180826753 9.548991732 123.854 135.181119175 77.878 80.664077703 1.7914117313921452 0
28159993   Y 1 16 2 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 215.16888148709387 220.951569221 10.927334546111524 11.067577176 126.144 128.075105413 74.339 77.534226947 3.7585469409823418 0
28159993   Y 1 16 3 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 205.46968838125468 211.951435739 10.024490427225828 10.191919089 124.399 126.726379419 70.401 72.09867337 0.6451979540288448 0
28159993   Y 1 16 4 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 202.61440137768165 214.003220148 5.977445395663381 6.094110009 124.123 129.954346178 69.312 73.838629003 3.201955982018262 0
28159993   Y 1 16 5 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 189.898547368221 221.934946708 6.765951015986502 6.894397225 122.721 123.922677251 57.875 88.067947222 2.5365963522344828 0
28159993   Y 1 16 6 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 195.96543930545076 201.416385683 5.965492905117571 6.095086685 120.261 123.64365421 68.118 69.512507739 1.620946400333196 0
28159993   Y 1 16 7 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 204.8990021351315 234.29423282 11.630806631874293 11.7782601 125.409 146.524401956 65.16 70.673682139 2.699195503257215 0
28159993   Y 1 16 8 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 183.9459638029486 193.062101616 5.757064453791827 5.862275054 116.238 121.21019285 60.471 63.488658536 1.4798993491567671 0
28159993   Y 1 16 9 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 186.39436532917247 201.619108926 5.37445528106764 5.514980802 113.519 118.550589618 63.638 72.96214703 3.8629100481048226 0
28159993   Y 1 16 10 0 STRIPED 201.39999999999998 32 32 768.515625 768.515625 183.11997990180924 227.106586569 5.425585153978318 5.552161415 115.33 123.916249791 59.658 94.480892244 2.7063947478309274 0
