SRC DEST FILE SIZE(MB) TOTAL(S) UTIME(S) STIME(S)
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/output.resample.26813109.1 0.0 0.005961000000000001 0.0 0.005961000000000001
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/error.resample.26813109.1 0.0 0.004232999999999999 0.0 0.004232999999999999
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/resample.xml 0.023351669311523438 0.005912000000000001 0.005912000000000001 0.0
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/stat.resample.26813109.1.xml 0.9797458648681641 0.006030999999999998 0.0 0.006030999999999998
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/output.combine.26813109.1 0.0 0.004640000000000002 0.0 0.004640000000000002
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/error.combine.26813109.1 0.0 0.004157000000000001 0.0 0.004157000000000001
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/coadd.fits 49.4439697265625 0.047584 0.0 0.047584
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/coadd.weight.fits 49.4439697265625 0.04368999999999999 0.0 0.04368999999999999
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/combine.xml 0.024936676025390625 0.0056659999999999905 0.0 0.0056659999999999905
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-4N-0F.jea2ch/swarp-scaling.batch.16c.0f.26813109//2/1/ 1/stat.combine.xml.26813109.1 0.17993450164794922 0.004934000000000022 0.0 0.004934000000000022
