SRC DEST FILE SIZE(MB) TOTAL(S) UTIME(S) STIME(S)
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/output.resample.26813106.1 0.0 0.008045 0.0 0.008045
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/error.resample.26813106.1 0.0 0.004066 0.0 0.004066
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/resample.xml 0.023351669311523438 0.005214 0.0 0.005214
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/stat.resample.26813106.1.xml 0.46984386444091797 0.004577999999999999 0.0 0.004577999999999999
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/output.combine.26813106.1 0.0 0.004617 0.0 0.004617
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/error.combine.26813106.1 0.0 0.004273 0.004273 0.0
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/coadd.fits 49.4439697265625 0.04203799999999999 0.0 0.04203799999999999
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/coadd.weight.fits 49.4439697265625 0.04140800000000001 0.0031849999999999995 0.03822300000000001
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/combine.xml 0.024936676025390625 0.005017999999999995 0.0 0.005017999999999995
1/ /global/cscratch1/sd/lpottier/workflow-io-bb/real-workflows/swarp/swarp-debug-16C-50B-1_4W-0F-16-12/swarp-run-1N-0F.NjcpL1/swarp-scaling.batch.16c.0f.26813106//1/1/ 1/stat.combine.xml.26813106.1 0.04501819610595703 0.004316 0.0 0.004316
